MYlive，CVS格式化源

香港HK,#genre#
HOY77,http://url.cdnhs.store:48559/hstw.php?id=hoytv
ViuTV,http://url.cdnhs.store:48559/hstw.php?id=ViuTvChannel
ViuTV,http://url.cdnhs.store:48559/hstw.php?id=Viutv
ViuTV,http://url.cdnhs.store:48559/hstw.php?id=viutv
ViuTV6,http://url.cdnhs.store:48559/hstw.php?id=ViuTv6Channel
ViuTV6,http://url.cdnhs.store:48559/hstw.php?id=Viusix
ViuTV6,http://url.cdnhs.store:48559/hstw.php?id=viu6tv
RTHK 31,http://url.cdnhs.store:48559/hstw.php?id=rthk31hd
RTHK 31,http://url.cdnhs.store:48559/hstw.php?id=RTHK31HD
RTHK 31,http://url.cdnhs.store:48559/hstw.php?id=rthk31
RTHK 32,http://url.cdnhs.store:48559/hstw.php?id=rthk32hd
RTHK 32,http://url.cdnhs.store:48559/hstw.php?id=RTHK32HD
RTHK 32,http://url.cdnhs.store:48559/hstw.php?id=rthk32
RTHK 33,http://url.cdnhs.store:48559/hstw.php?id=rthk33hd
RTHK 34,http://url.cdnhs.store:48559/hstw.php?id=rthk34hd
RTHK 35,http://url.cdnhs.store:48559/hstw.php?id=rthk35hd
HKC18台,http://url.cdnhs.store:48559/hstw.php?id=HKC18
HKC18台,http://url.cdnhs.store:48559/hstw.php?id=HKC18Channel
HKC18台,http://url.cdnhs.store:48559/hstw.php?id=hkc18
88跑马台,http://url.cdnhs.store:48559/hstw.php?id=88horseracing
Now668跑马台,http://url.cdnhs.store:48559/hstw.php?id=Now668HK
MyTV千禧经典台,http://url.cdnhs.store:48559/hstw.php?id=MytvClassic
MyTV千禧经典台,http://url.cdnhs.store:48559/hstw.php?id=TVBClassicHK
Kix,http://url.cdnhs.store:48559/hstw.php?id=MytvKIX
Kix,http://url.cdnhs.store:48559/hstw.php?id=KIXHK
Kix,http://url.cdnhs.store:48559/hstw.php?id=KIXBG
Kix,http://url.cdnhs.store:48559/hstw.php?id=CKIX
黃金華劇台,http://url.cdnhs.store:48559/hstw.php?id=MytvGoldenChineseDrama
黃金華劇台,http://url.cdnhs.store:48559/hstw.php?id=NowChineseDramaChannelHKBG
黃金華劇台,http://url.cdnhs.store:48559/hstw.php?id=NowChineseDramaChannelHK
TVBSuperFree,http://url.cdnhs.store:48559/hstw.php?id=MytvSuperFree
TVBSuperFree,http://url.cdnhs.store:48559/hstw.php?id=TVBSuperfreeHKBG
TVBSuperFree,http://url.cdnhs.store:48559/hstw.php?id=TVBSuperfreeHK
TVBSuperFree,http://url.cdnhs.store:48559/hstw.php?id=CWIN
澳視澳門,http://url.cdnhs.store:48559/hstw.php?id=tdmch91
澳視葡文,http://url.cdnhs.store:48559/hstw.php?id=tdmch92
澳門体育频道,http://url.cdnhs.store:48559/hstw.php?id=tdmch93
澳門資訊,http://url.cdnhs.store:48559/hstw.php?id=tdmch94
澳門綜藝,http://url.cdnhs.store:48559/hstw.php?id=tdmch95
澳門衛星,http://url.cdnhs.store:48559/hstw.php?id=tdmch96
翡翠台(香港·时区),http://url.cdnhs.store:48559/hstw.php?id=TVBJHK
TVB明珠台,http://url.cdnhs.store:48559/hstw.php?id=MytvTvbPearl
TVB明珠台,http://url.cdnhs.store:48559/hstw.php?id=tvbpearl
TVB明珠台,http://url.cdnhs.store:48559/hstw.php?id=TVBPearlHK
